origin_type,strategy,estimator,role,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n
development,direct,NeuralNet,head_to_head,12.366601574685216,20.514528697210658,68.94645300235524,0.3015228850728673,0.36849258190016143,0.5567074298001129,0.3938391699765194,0.009602599555654096,2390
development,direct,Chronos2,head_to_head,15.266976137590209,24.29191485932023,93.49768846933986,0.37223991276374524,0.43344305977091,0.6643169884348258,3.231893477629418,0.07880013273960508,2390
development,direct,SeasonalWeekdayNaive,sanity_baseline,29.42614697482898,47.977303877525586,197.493661979837,0.7174692803713544,0.6236689285174277,0.9578120655971312,8.579116025768743,0.20917628823426437,2390
recent_benchmark,direct,NeuralNet,head_to_head,7.543324696965631,12.242904126243182,58.70562983009477,0.26457859390584704,0.4007804967391674,0.5293313271950788,1.2957057570165196,0.04544627482959107,840
recent_benchmark,direct,Chronos2,head_to_head,9.307761817886716,14.4869486503547,88.02198402445055,0.32646540260657403,0.4612004983776088,0.6556715622177594,1.3103592838559832,0.045960240445906964,840
recent_benchmark,direct,SeasonalWeekdayNaive,sanity_baseline,31.815515873015872,47.158000984756626,404.18532383748254,1.1159143735994543,0.8247008170461608,1.3002925815745896,24.37686507936508,0.8550071680097986,840
final_audit,direct,NeuralNet,head_to_head,15.399238662309159,28.25421942564178,63.855507887509255,0.300328773093978,0.3156240258641283,0.4953831624110377,-6.468179513869655,-0.12614782198984253,630
final_audit,direct,Chronos2,head_to_head,16.575806473928786,30.200963249561255,79.92972914542446,0.32327517811271816,0.3530892330730465,0.5629629724775739,-7.730114051273891,-0.15075911996726468,630
final_audit,direct,SeasonalWeekdayNaive,sanity_baseline,25.090077475434622,41.457619676359315,95.6981263840442,0.48932757977660934,0.5249111828438384,0.7438741476580017,-13.246555177626604,-0.25834534754991056,630
